ID_SONDE;ID_DOSSIER;ALTITUDE_MIN;ALTITUDE_MAX;DIMENSION;FLUIDE;ETAT;DETERMINATION_PLANIMETRIQUE;REMARQUES;E;N
11775;0;0.0;0.0;Profondeur = 100 m;Inconnu;;;Objet non répertorié dans le cad. technique lors du transfert à la DCMO. Récupéré du SCG, dossier n° 11775. Reporté en 2002;2505284.42;1116874.22
;DD 101719;408.0;428.0;Diamètre 32mm;Inconnu;En service;Précis;;2502196.15;1113775.72
;DD 101719;408.0;428.0;Diamètre 32mm;Inconnu;En service;Précis;;2502177.14;1113755.54
;DD 101719;408.0;428.0;Diamètre 32mm;Inconnu;En service;Précis;;2502208.34;1113794.34
;DD 101816;270.0;420.0;;Inconnu;En service;Imprécis;;2503677.11;1120489.18
;DD 101155;237.0;374.0;Profondeur 137m Diamètre 32;Autre;En service;Précis;Selon plan scanné;2505445.03;1134028.15
;DD 101155;237.0;374.0;Profondeur 137m Diamètre 32;Autre;En service;Précis;Selon plan scanné;2505454.97;1134029.66
;APA 30423;0.0;418.0;Diamètre 32 Profondeur 112m;Inconnu;En service;Imprécis;;2489970.45;1115686.42
;DD 98371;0.0;434.90000000000003;Diamètre 40mm Profondeur 215m;Glycol / Alcoll 30 %;En service;Imprécis;;2498632.02;1121300.06
;DD 98371;0.0;434.90000000000003;Diamètre 40mm Profondeur 215m;Glycol / Alcoll 30 %;En service;Imprécis;;2498636.23;1121305.45
;APA 25285;0.0;466.0;Profondeur 90m;Inconnu;En service;Imprécis;;2505290.30;1121180.22
;APA 26175;0.0;421.3;Diamètre 4x32mm Profondeur 160m;Glycol / Alcoll 30 %;En service;Précis;;2489891.53;1116305.14
;APA 30370;0.0;407.90000000000003;Diamètre 32mm Profondeur 150m;Inconnu;En service;Précis;;2499138.46;1119153.16
;APA 30370;0.0;407.7;Diamètre 32mm Profondeur 150m;Inconnu;En service;Précis;;2499136.43;1119139.62
;APA 30370;0.0;407.0;Diamètre 32mm Profondeur 150m;Inconnu;En service;Précis;;2499143.45;1119140.19
;APA 30370;0.0;406.8;Diamètre 32mm Profondeur 150m;Inconnu;En service;Précis;;2499151.01;1119149.91
;APA 30370;0.0;407.1;Diamètre 32mm Profondeur 150m;Inconnu;En service;Précis;;2499180.98;1119184.19
